minimum,maximum,type,price,service
999999,999999,E2,2.34,economic
999999,999999,E3,2.36,economic
999999,999999,E4,2.39,economic
999999,999999,N1,3.27,economic
999999,999999,N2,3.77,economic
999999,999999,N3,4.3,economic
999999,999999,N4,5.32,economic
999999,999999,N5,6.55,economic
999999,999999,N6,8.19,economic
999999,999999,I1,4.07,economic
999999,999999,I2,4.57,economic
999999,999999,I3,5.8,economic
999999,999999,I4,7.32,economic
999999,999999,I5,8.95,economic
999999,999999,I6,11.19,economic
